	z	xi	dl	da
419	0.419	1618.2359724938933	2296.2768449688347	1140.405900277585
420	0.42	1621.6694043624757	2302.7705541947153	1142.0207072975181
421	0.421	1625.1008384454492	2309.2682914309835	1143.6318356407103
422	0.422	1628.5302754186587	2315.7700516453324	1145.2392935433606
423	0.423	1631.9577159605442	2322.2758298118542	1146.8430892203403
424	0.424	1635.3831607521327	2328.785620911037	1148.4432308652617
425	0.425	1638.806610477028	2335.299419929765	1150.0397266505458
426	0.426	1642.2280658214006	2341.817221861317	1151.63258472749
427	0.427	1645.6475274739787	2348.3390217053675	1153.221813226334
428	0.428	1649.0649961260378	2354.864814467982	1154.8074202563291
429	0.429	1652.4804724713917	2361.394595161619	1156.3894139058025
430	0.43	1655.8939572063814	2367.9283588051253	1157.9678022422247
431	0.431	1659.3054510298673	2374.46610042374	1159.5425933122763
432	0.432	1662.714954643217	2381.0078150490867	1161.1137951419114
433	0.433	1666.1224687502977	2387.5534977191764	1162.6814157364254
434	0.434	1669.5279940574667	2394.103143478407	1164.2454630805207
435	0.435	1672.9315312735596	2400.656747377558	1165.805945138369
436	0.436	1676.3330811098824	2407.214304473791	1167.3628698536786
437	0.437	1679.732644280201	2413.775809830649	1168.916245149757
438	0.438	1683.1302215007317	2420.341258518052	1170.466078929577
439	0.439	1686.5258134901328	2426.9106456123013	1172.0123790758394
440	0.44	1689.919420969493	2433.48396619607	1173.5551534510369
441	0.441	1693.3110446623239	2440.061215358409	1175.0944098975183
442	0.442	1696.7006852945474	2446.642388194737	1176.6301562375502
