 GIN  Name xx      CAN    cz     e sigma   e  dsigma
583  A2199 E     66   9517   21   117    8     99
584  A2199 F     66   8652   14   192    9      0
585  A2199 G     66  10701   21   109    8     99
586  A2199 H     66   8856   23   189   15     99
588  A2199 J     66   9092   24   171   16     99
589  A2199 K     66   9127   21   168   12     99
590  A2199 L     66   8897   21   166   12     99
591  A2199 M     66  10108   21   181   12     99
592  A2199 N     66   9918   21   144   11     99
593  A2199 O     66   9006   22   192   14     99
595  A2199 1     66   8814   19   193   14      0
596  A2199 2    166  17795   46   256   77     99
598  J21 A      167   6085   16   200   21      8
600  J21 C       67  13119   33   287   47     99
601  J21 D       67  13778   22   198   17     99
602  J21 E       67  14348   21   327   22     22
604  J21 G       67  14201   21   178   96     99
606  J21 I       67  13259   24   222   20     99
607  J21 1       67  13750   23   197   18     99
608  J21 2       67  14675   23   172   17     99
609  A2247 A     68  11111   22   209   33     99
610  A2247 B     68  11844   22   229   34     99
611  A2247 C     68  11796   22   226   37     99
612  A2247 D     68  11251   22   214   36     99
613  A2247 E     68  11366   22   223   36     99
614  A2247 F     68  11679   24   270   20     99
615  A2247 1     68  11696   32   136   69     99
616  A2247 2     68  11371   17    97   25     99
617  P332-1 A    70  10675   14   204   11      0
618  P332-1 B    70  10785   23   260   38     99
619  P332-1 C    70  10066   14   164   17      5
620  P332-1 D    69  16941   24   204   33     99
621  P332-1 E    69  17747   24   234   25     99
622  P332-1 F    70  10522   22   177   20     99
623  P332-1 G    70  10042   47   284   84     99
626  J22 A       70  10448   24   330   32     17
627  J22 B       70  10358   30   296   33     29
628  J22 C       70   9729   21   222   23     15
629  J22 D       70   9723   34   243   38     99
630  J22 E       70  10542   20   233   24      9
631  J22 F       70  10952   28   141   32     99
632  J22 G       70   9949   21   273   20     18
633  J22 H       70  10376   14   172    9     10
634  J23 A       71   8220   26   347   40     64
635  J23 B       71   8867   19   245   25      3
636  J23 C       71   8496   20   185   29     29
638  J23 E       71   8275   20   147   24      4
639  J24 A       72   9858   27   253   37     30
640  J24 B       72  10228   16   103   22     20
641  J24 C       72  10346   22   208   40      3
642  J24 D       72  10695   72   999  999     99
643  J24 E       72  10427   25   195   37     99
645  J25 A       73   8233   23   204   27     12
646  J25 B       73   8354   21   206   24      4
647  J25 C       73   7775   18   140   24     33
648  J26 A       74  15045   20   269   30     20
649  J26 B      174  18187   37   284   65     99
650  J26 C       74  15292   20   281   41      2
651  J26 1       74  15341   71   999  999     99
652  J26 2       74  14188   19   134   35     99
653  J27 A       75  10646   30   289   46     31
654  J27 B       75   9325   29   235   40      5
655  J27 C       75   9784   32   221   43     99
656  J27 D       75   9424   20    95   21     99
657  J27 E       75   9740   15   192   22     32
658  J38 A       76  15519   31   385   42      7
659  J38 B       76  14818   16   190   21     23
660  J38 C       76  16207   19   125   21     25
661  J38 1       76  14918   26   108   43     99
662  P522-1 A    77   7318   10   288    6     11
663  P522-1 B    77   7847   10   249    7     14
664  P522-1 C    77   7697   10   101    6      7
665  P522-1 D    77   7933    8   184    6     16
666  P522-1 E    77   7315   10   166    8     12
667  P522-1 F    77   8340   10   134    6     10
668  P522-1 G    77   7118   11   191    6      8
669  P522-1 1    77   7572   11   186    6      8
670  P522-1 2   177  23926   13   216   11      5
672  P522-1 4    77   7607   10    85    6     17
673  P522-1 5   277  27282   13   119   12     42
674  A2572 A     78  11793   20   305   21      9
675  A2572 B     78  11384   15   263   17     20
676  A2572 C     78  11263   23   296   24     15
677  A2572 D     78  11260   16   182   12     16
678  A2572 E     78  11297   50   999  999     99
680  A2572 2     78  12027   14   149   16      8
681  A2589 A     79  12327   10   254    9      7
682  A2589 B     79  12773   11   261   10     16
683  A2589 C     79  14145   10   165    8     31
684  A2589 D     79  13549   11   225    9     11
685  A2589 E     79  10403    9    70    8     12
686  A2589 F     79  12124   12   254   10     11
687  A2589 G     79  12535   12   183   10     20
688  A2589 H     79  13420   13   244   11     21
689  A2589 1     79  13329   11   121    9      3
690  A2589 2     79  12312   13   113   17     38
691  A2593-N A   80  12489   17   246   13      4
692  A2593-N B   80  11601    8   208    8     18
693  A2593-N C   80  13381   10   204    8     18
694  A2593-N D   80  12637    9   231    6     15
695  A2593-N E   80  11591   11   311   10      9
696  A2593-N F   80  12424    9   165    6     10
697  A2593-N G   80  11747    9   142    7     15
